0,1,2,3
Дата,Город,Температура,Скорость ветра
01-05-2024,Kazan’,12.03,6.39
01-05-2024,Moscow,18.84,5.1
01-05-2024,Saint Petersburg,11.2,3
01-05-2024,Cheboksary,11.33,7
01-05-2024,Sochi,18.94,2.68
01-05-2024,Vladivostok,8.01,4.2
01-05-2024,Ekaterinburg,8.77,2
01-05-2024,China,8.86,2.3
