0,1,2,3
Дата,Город,Температура,Скорость ветра
2024-06-04 14:26:55.196068,Kazan’,21.36,5.26
2024-06-04 14:26:55.497360,Moscow,23.15,4.67
2024-06-04 14:26:55.771681,Saint Petersburg,23.3,8
2024-06-04 14:26:56.045890,Cheboksary,21.33,6
2024-06-04 14:26:56.359189,Sochi,26.05,3.48
2024-06-04 14:26:56.666625,Vladivostok,12.01,1.81
2024-06-04 14:26:56.975348,Ekaterinburg,26.77,5
2024-06-04 14:26:57.253545,Beijing,30.94,5.72
