0,1,2,3
Дата,Город,Температура,Скорость ветра
2024-06-04 14:25:47.579603,Kazan’,21.36,5.26
2024-06-04 14:25:47.922731,Moscow,23.15,4.67
2024-06-04 14:25:48.244004,Saint Petersburg,23.3,8
2024-06-04 14:25:48.593924,Cheboksary,21.33,6
2024-06-04 14:25:48.969713,Sochi,26.05,3.48
2024-06-04 14:25:49.270913,Vladivostok,12.01,1.81
2024-06-04 14:25:49.578352,Ekaterinburg,26.77,5
2024-06-04 14:25:49.873069,China,20.49,3.85
